,sentence
178,"Bos output: ['Mit Unternehmen Barbarossa begann 22', ' Juni 1941 ', ' Das deutsche Heer marschierte Moskau wurde Schlacht Moskau Dezember 1941 gestoppt', ' Nachdem Kriegsverbündete Japan selben Monat amerikanische Marine Angriff Pearl Harbor überfallen hatte, erklärte Deutschland Vereinigten Staaten Krieg', ' Mangelnde Ressourcen Übermacht Gegners ließen bald Kriegswende eintreten, verlorenen Schlacht Stalingrad völligen Aufreibung deutschen 6', ' Armee manifestierte', ' Je unvermeidlicher Niederlage wurde, desto härter wurde Politik innen geführt', ' In Sportpalastrede 18', ' Februar 1943 proklamierte Joseph Goebbels „totalen Krieg“, deutschen Armeen fast Fronten zurückwichen zahlreiche deutsche Städte Bombenkrieg zerstört wurden', ' Als sowjetische Armeen Schlacht Berlin Hauptstadt schon eingenommen hatten, nahm Hitler 30', ' April 1945 Führerbunker Leben', ' Die bedingungslose Kapitulation Wehrmacht folgte 8', ' Mai, letzte Reichsregierung wurde Sonderbereich Mürwik Flensburg 23', ' Mai 1945 verhaftet', ' Überlebende politische, militärische wirtschaftliche Hauptverantwortliche wurden wegen individuellen Verantwortung Kriegsverbrechen Verbrechen Menschlichkeit Nürnberger Prozessen angeklagt'] ### Input: Mit dem Unternehmen Barbarossa begann am 22. Juni 1941 der . Das deutsche Heer marschierte auf Moskau vor und wurde in der Schlacht um Moskau im Dezember 1941 gestoppt. Nachdem der Kriegsverbündete Japan im selben Monat die amerikanische Marine im Angriff auf Pearl Harbor überfallen hatte, erklärte Deutschland auch den Vereinigten Staaten den Krieg. Mangelnde Ressourcen und die Übermacht des Gegners ließen bald die Kriegswende eintreten, die sich in der verlorenen Schlacht von Stalingrad mit der völligen Aufreibung der deutschen 6. Armee manifestierte. Je unvermeidlicher die Niederlage wurde, desto härter wurde die Politik nach innen geführt. In seiner Sportpalastrede vom 18. Februar 1943 proklamierte Joseph Goebbels den „totalen Krieg“, während die deutschen Armeen an fast allen Fronten zurückwichen und zahlreiche deutsche Städte durch den Bombenkrieg zerstört wurden. Als sowjetische Armeen in der Schlacht um Berlin die Hauptstadt schon eingenommen hatten, nahm sich Hitler am 30. April 1945 im Führerbunker das Leben. Die bedingungslose Kapitulation der Wehrmacht folgte am 8. Mai, die letzte Reichsregierung wurde im Sonderbereich Mürwik bei Flensburg am 23. Mai 1945 verhaftet. Überlebende politische, militärische und wirtschaftliche Hauptverantwortliche wurden wegen ihrer individuellen Verantwortung an Kriegsverbrechen und Verbrechen gegen die Menschlichkeit in den Nürnberger Prozessen angeklagt. EOS"
179,"Bos output: ['Von Beginn Hitler zwei Ziele, Angriffs- Vernichtungskrieg Schaffung „Lebensraum Osten“ Verfolgung Juden, Diskriminierung, Demütigung Ausgrenzung begann „Endlösung Judenfrage“ Holocaust endete', ' 1934 begann Aufrüstung Wehrmacht', ' Eine enthemmt expansive Geldpolitik Schuldenwirtschaft baldige Kriegsführung ausgerichtet', ' Mit Reinhardt-Programm wurde Arbeitslosigkeit gesenkt; wurde Bevölkerung Einlösung wirtschaftlicher Versprechen begrüßt', ' Die deutschen Juden wurden immer schlechter gestellt; Nürnberger Gesetze 1935 bestraften Beziehungen „Ariern“ Juden „Rassenschande“ schwer', ' Juden verloren öffentlichen Ämter, wurden willkürlich verfolgt, bestohlen erpresst schließlich völligen Berufsverbot belegt, jüdische Vermögen arisiert', ' Immer häufiger wurden Juden Konzentrationslager eingewiesen', ' Viele fassten Entschluss Emigration, meisten blieben Deutschland'] ### Input: Von Beginn an hatte Hitler zwei Ziele, einen Angriffs- und Vernichtungskrieg zur Schaffung von „Lebensraum im Osten“ und die Verfolgung der Juden, die mit Diskriminierung, Demütigung und Ausgrenzung begann und als „Endlösung der Judenfrage“ im Holocaust endete. 1934 begann die Aufrüstung der Wehrmacht. Eine enthemmt expansive Geldpolitik und Schuldenwirtschaft waren auf baldige Kriegsführung ausgerichtet. Mit dem Reinhardt-Programm wurde die Arbeitslosigkeit gesenkt; dies wurde von der Bevölkerung als Einlösung wirtschaftlicher Versprechen begrüßt. Die deutschen Juden wurden immer schlechter gestellt; die Nürnberger Gesetze 1935 bestraften Beziehungen zwischen „Ariern“ und Juden als „Rassenschande“ schwer. Juden verloren alle öffentlichen Ämter, wurden willkürlich verfolgt, bestohlen und erpresst und schließlich mit einem völligen Berufsverbot belegt, jüdische Vermögen arisiert. Immer häufiger wurden auch Juden in Konzentrationslager eingewiesen. Viele fassten den Entschluss zur Emigration, die meisten aber blieben in Deutschland. EOS"
180,"Bos output: ['Seit 1949 beiden deutschen Staaten 1957 beigetretene Saarland gemeinsamen Gebietszuschnitt, heutigen Deutschland fortbesteht', ' Erstmals deutschen Geschichte gab Staatsgebiet großen nationalen Minderheiten mehr früher Franzosen Polen', ' Andererseits begann Deutschland Ziel Zuwanderern Europa Asien werden, weshalb inzwischen beträchtlicher Bevölkerungsanteil nicht mehr ausschließlich Deutschland stammende Vorfahren hat', ' Durch Zuwanderung stieg Bevölkerungszahl 1972 2002 insgesamt an, obwohl Zeit Geburtensaldo bereits negativ war', ' Im Zeitraum Jahren 2002 2011 verringerte Einwohnerzahl, Wanderungssaldo teils negativ ausfiel seit Jahrzehnten bestehende Geburtendefizit nicht ausglich', ' Seit 2011 nimmt Bevölkerung Deutschlands zu'] ### Input: Seit 1949 hatten die beiden deutschen Staaten und das 1957 beigetretene Saarland ihren gemeinsamen Gebietszuschnitt, wie er auch im heutigen Deutschland fortbesteht. Erstmals in der deutschen Geschichte gab es im Staatsgebiet keine großen nationalen Minderheiten mehr wie früher Franzosen oder Polen. Andererseits begann Deutschland zum Ziel von Zuwanderern aus Europa und Asien zu werden, weshalb inzwischen ein beträchtlicher Bevölkerungsanteil nicht mehr ausschließlich aus Deutschland stammende Vorfahren hat. Durch die Zuwanderung stieg die Bevölkerungszahl von 1972 bis 2002 insgesamt an, obwohl in dieser Zeit der Geburtensaldo bereits negativ war. Im Zeitraum zwischen den Jahren 2002 bis 2011 verringerte sich die Einwohnerzahl, da der Wanderungssaldo teils negativ ausfiel und das seit Jahrzehnten bestehende Geburtendefizit nicht ausglich. Seit 2011 nimmt die Bevölkerung Deutschlands wieder zu. EOS"
181,"Bos output: ['Die Wurzeln Hinduismus liegen Veda , religiösen Texten, deren älteste Schicht etwa 1200 v', ' Chr', ' datiert wird', ' Die Bezeichnung „Hinduismus“ wurde jedoch erst 19', ' Jahrhundert allgemein üblich', ' Er verbindet viele Strömungen ähnlicher Glaubensgrundlage Geschichte, besonders Lehren Karma, Kreislauf Wiedergeburten Streben Erlösung übereinstimmen', ' Er kennt einzelnen Religionsstifter, einheitliches Glaubensbekenntnis religiöse Zentralbehörde', ' Die wichtigsten populären Richtungen Shivaismus, Vishnuismus Shaktismus', ' Daneben Indische Volksreligion regional lokal weit verbreitet', ' Religiöse Lehrer Priester großen Stellenwert persönlichen Glauben'] ### Input: Die Wurzeln des Hinduismus liegen im Veda , religiösen Texten, deren älteste Schicht auf etwa 1200 v. Chr. datiert wird. Die Bezeichnung „Hinduismus“ wurde jedoch erst im 19. Jahrhundert allgemein üblich. Er verbindet viele Strömungen mit ähnlicher Glaubensgrundlage und Geschichte, die besonders bei den Lehren von Karma, dem Kreislauf der Wiedergeburten und dem Streben nach Erlösung übereinstimmen. Er kennt keinen einzelnen Religionsstifter, kein einheitliches Glaubensbekenntnis und keine religiöse Zentralbehörde. Die wichtigsten populären Richtungen sind der Shivaismus, der Vishnuismus und der Shaktismus. Daneben ist die Indische Volksreligion regional und lokal weit verbreitet. Religiöse Lehrer und Priester haben einen großen Stellenwert für den persönlichen Glauben. EOS"
182,"Bos output: ['Gegen Polizeibeamte wurden Laufe Zeit viele Beschwerden Strafanzeigen erstattet', ' Hierbei unterscheiden Dienstvergehen, Disziplinarverfahren geahndet werden, Straftaten bzw', ' Ordnungswidrigkeiten , entsprechenden Verfahren zuständige Behörde zusätzlich Disziplinarverfahren verfolgt werden'] ### Input: Gegen Polizeibeamte wurden im Laufe der Zeit viele Beschwerden und Strafanzeigen erstattet. Hierbei ist zu unterscheiden zwischen den Dienstvergehen, die im Disziplinarverfahren geahndet werden, und den Straftaten bzw. Ordnungswidrigkeiten , die in einem entsprechenden Verfahren durch die zuständige Behörde und zusätzlich im Disziplinarverfahren verfolgt werden. EOS"
183,"Bos output: ['Für stationären Betrieb verfügen Notebooks eingebaute externe Stromversorgung Betrieb Gerätes Laden Akkus mobilen Betrieb', ' Im mobilen Einsatz verwenden fast modernen Notebooks Lithium-Ionen-Akkus Lithium-Polymer-Zellen Stromversorgung', ' Zuvor Akkus Nickel-Metall-Hydrid-Technik Nickel-Cadmium-Technik verbreitet', ' Übliche Laufzeiten Notebooks Akkubetrieb liegen je Energieverbrauch Akku-Kapazität wenigen Stunden deutlich 12 Stunden'] ### Input: Für den stationären Betrieb verfügen alle Notebooks über eine eingebaute oder externe Stromversorgung zum Betrieb des Gerätes und zum Laden des Akkus für den mobilen Betrieb. Im mobilen Einsatz verwenden fast alle modernen Notebooks Lithium-Ionen-Akkus oder Lithium-Polymer-Zellen zur Stromversorgung. Zuvor waren Akkus mit Nickel-Metall-Hydrid-Technik oder Nickel-Cadmium-Technik verbreitet. Übliche Laufzeiten von Notebooks im Akkubetrieb liegen je nach Energieverbrauch und Akku-Kapazität zwischen wenigen Stunden bis deutlich über 12 Stunden. EOS"
184,"Bos output: ['Indien wichtiger Exporteur Rohstoffen Fertigprodukten, Arbeitskräften Dienstleistungen', ' Aus Indien kommen Softwareprodukte Softwareentwickler; verfügt große Zahl gut ausgebildeter Fachkräfte', ' Die wichtigsten Exportgüter Textilien, Bekleidung, geschliffene verarbeitete Edelsteine, Schmuck, Chemikalien, Erdölerzeugnisse, Lederwaren Softwareprodukte', ' Indien importiert Rohöl, elektronische Erzeugnisse, Edelsteine , Maschinen, Edelmetalle, Chemikalien Düngemittel'] ### Input: Indien ist ein wichtiger Exporteur von Rohstoffen und Fertigprodukten, aber auch Arbeitskräften und Dienstleistungen. Aus Indien kommen Softwareprodukte und Softwareentwickler; es verfügt über eine große Zahl gut ausgebildeter Fachkräfte. Die wichtigsten Exportgüter sind Textilien, Bekleidung, geschliffene und verarbeitete Edelsteine, Schmuck, Chemikalien, Erdölerzeugnisse, Lederwaren und Softwareprodukte. Indien importiert vor allem Rohöl, elektronische Erzeugnisse, Edelsteine , Maschinen, Edelmetalle, Chemikalien und Düngemittel. EOS"
185,"Bos output: ['Das Gebiet Indiens mindestens seit bronzezeitlichen Indus-Hochkultur zivilisiert', ' Seit Unabhängigkeit Vereinigten Königreich 1947 britischen Weltreich Mitglied Commonwealth of Nations, zunächst Kaiserreich britischen Monarchen Kaiser Indien seit 1950 demokratisch säkular verfasste Republik', ' Das politische System Indiens basiert seither parlamentarischen Republik Vorbild britischen Westminster-Systems'] ### Input: Das Gebiet Indiens ist mindestens seit der bronzezeitlichen Indus-Hochkultur zivilisiert. Seit seiner Unabhängigkeit vom Vereinigten Königreich 1947 und dem britischen Weltreich ist es Mitglied der Commonwealth of Nations, zunächst als Kaiserreich mit dem britischen Monarchen als Kaiser von Indien und seit 1950 als demokratisch und säkular verfasste Republik. Das politische System Indiens basiert seither auf einer parlamentarischen Republik nach dem Vorbild des britischen Westminster-Systems. EOS"
186,"Bos output: ['Zur Wahrnehmung Aufgaben Polizisten ab bestimmten Amtsbezeichnung gemäß § 152 Abs', ' 1 GVG Verbindung jeweiligen Landesverordnung Ermittlungspersonen Staatsanwaltschaft Verfolgung Straftätern Aufklärung Straftaten tätig ', ' In Funktion bestimmte Maßnahmen Strafprozessordnung beispielsweise Beschlagnahme, Durchsuchung angeordnet durchgeführt werden', ' Diese Aufgabe repressiven Charakter '] ### Input: Zur Wahrnehmung dieser Aufgaben werden Polizisten ab einer bestimmten Amtsbezeichnung gemäß § 152 Abs. 1 GVG in Verbindung mit der jeweiligen Landesverordnung als Ermittlungspersonen der Staatsanwaltschaft zur Verfolgung von Straftätern und Aufklärung von Straftaten tätig . In dieser Funktion können bestimmte Maßnahmen nach der Strafprozessordnung wie beispielsweise Beschlagnahme, Durchsuchung angeordnet und durchgeführt werden. Diese Aufgabe hat repressiven Charakter . EOS"
187,"Bos output: ['Parteien wirken gemäß Art', ' 21 GG politischen Willensbildung Volkes mit', ' Das Parteienspektrum Bundestag vertretenen Parteien geprägt, gehören seit Bestehen Volksparteien, SPD Unionsparteien , an', ' Von Parteien Bundestagswahl 2021 außerdem Die Linke Grüne, SSW sowie AfD FDP vertreten; SSW ersten Mal seit Bundestagswahl 1949 Bundestag vertreten'] ### Input: Parteien wirken gemäß Art. 21 GG an der politischen Willensbildung des Volkes mit. Das Parteienspektrum wird durch die im Bundestag vertretenen Parteien geprägt, ihm gehören seit Bestehen die Volksparteien, die SPD und die Unionsparteien , an. Von den anderen Parteien sind dort nach der Bundestagswahl 2021 außerdem Die Linke und Grüne, der SSW sowie die AfD und die FDP vertreten; der SSW ist zum ersten Mal seit der Bundestagswahl 1949 wieder im Bundestag vertreten. EOS"
188,"Bos output: ['Im Volksmund gibt unterschiedliche, teils beleidigende Bezeichnungen Polizisten', ' Am verbreitetsten Bezeichnung „Bulle“ ', ' Eine ebenfalls ältere Bezeichnung „Schnittlauch“ , schon 1980ern DDR bekannt war', ' Eine besondere Stellung Abkürzung A', 'C', 'A', 'B', ' aktionsorientierten Jugendlichen sowie Hooligans, Schwarzen Block Neonazis', ' Diese tragen Kleidung Abkürzung skandieren Polizei gerichtete Sprüche öffentlichen Auftritten '] ### Input: Im Volksmund gibt es unterschiedliche, teils beleidigende Bezeichnungen für Polizisten. Am verbreitetsten ist die Bezeichnung „Bulle“ . Eine ebenfalls ältere Bezeichnung ist „Schnittlauch“ , die schon in den 1980ern in der DDR bekannt war. Eine besondere Stellung hat die Abkürzung A.C.A.B. bei aktionsorientierten Jugendlichen sowie Hooligans, dem Schwarzen Block und Neonazis. Diese tragen Kleidung mit der Abkürzung und skandieren gegen die Polizei gerichtete Sprüche bei öffentlichen Auftritten . EOS"
189,"Bos output: ['Aufgrund Tatsache, Amazon US-amerikanisches Unternehmen handelt, steht Amazon Web Services vergleichbare Dienste Bezug Datenschutz seit Jahren Deutschland Kritik', ' Um Problem kompensieren, bietet Amazon sogenannte Regionen an, wiederum Availability Zones unterteilt physischen Standorten Speicherung Daten entsprechen'] ### Input: Aufgrund der Tatsache, dass es sich bei Amazon um ein US-amerikanisches Unternehmen handelt, steht Amazon Web Services wie vergleichbare Dienste im Bezug auf den Datenschutz seit Jahren in Deutschland in der Kritik. Um das Problem zu kompensieren, bietet Amazon sogenannte Regionen an, die wiederum in Availability Zones unterteilt sind und physischen Standorten für die Speicherung von Daten entsprechen. EOS"
190,"Bos output: ['Der Hörfunk Deutschland dual organisiert regional geprägt', ' Er teilt öffentlich-rechtlichen Hörfunk, Rundfunkbeitrag finanziert, private Radioanbieter, Erlöse überwiegend Werbung erzielen', ' Ende 2016 weit 300 Rundfunkanbieter registriert, davon rund 290 kommerzielle mehr 60 öffentlich-rechtliche Programme ARD, überwiegend UKW ausgestrahlt, zunehmend DAB', ' Von großer Bedeutung Entwicklung zwei Urteile Bundesverfassungsgerichts 1981 1986, Organisation Rahmenbedingungen festlegten'] ### Input: Der Hörfunk in Deutschland ist dual organisiert und vor allem regional geprägt. Er teilt sich auf in öffentlich-rechtlichen Hörfunk, der sich durch den Rundfunkbeitrag finanziert, und private Radioanbieter, die ihre Erlöse überwiegend aus Werbung erzielen. Ende 2016 waren weit über 300 Rundfunkanbieter registriert, davon rund 290 kommerzielle und mehr als 60 öffentlich-rechtliche Programme der ARD, überwiegend über UKW ausgestrahlt, aber zunehmend auch über DAB. Von großer Bedeutung für die Entwicklung sind zwei Urteile des Bundesverfassungsgerichts von 1981 und 1986, welche die Organisation und die Rahmenbedingungen festlegten. EOS"
191,"Bos output: ['Aufgrund hohen Außenhandelsanteils Deutschland besonders Seehandel angewiesen', ' Es verfügt Anzahl moderner Seehäfen, wickelt große Anteile Handels Übersee Häfen Nachbarländern, Niederlanden, ab', ' Die drei umschlagstärksten Seehäfen Deutschland Hamburg, Wilhelmshaven Bremer Häfen', ' Der JadeWeserPort Wilhelmshaven einzige Tiefwasserhafen Deutschland', ' Die wichtigsten Ostseehäfen Rostock, Lübeck Kiel', ' Rostock-Warnemünde meistfrequentierte Kreuzfahrthafen Deutschlands'] ### Input: Aufgrund des hohen Außenhandelsanteils ist Deutschland besonders auf den Seehandel angewiesen. Es verfügt über eine Anzahl moderner Seehäfen, wickelt aber auch große Anteile seines Handels nach Übersee über die Häfen von Nachbarländern, vor allem in den Niederlanden, ab. Die drei umschlagstärksten Seehäfen in Deutschland sind Hamburg, Wilhelmshaven und die Bremer Häfen. Der JadeWeserPort in Wilhelmshaven ist der einzige Tiefwasserhafen in Deutschland. Die wichtigsten Ostseehäfen sind Rostock, Lübeck und Kiel. Rostock-Warnemünde ist der meistfrequentierte Kreuzfahrthafen Deutschlands. EOS"
192,"Bos output: ['In „weiterentwickelten Demografiestrategie“ 2015 nennt Bundesregierung Partner, denen vertieft zehn Arbeitsgruppen zusammenarbeiten möchte'] ### Input: In ihrer „weiterentwickelten Demografiestrategie“ von 2015 nennt die Bundesregierung Partner, mit denen sie vertieft in zehn Arbeitsgruppen zusammenarbeiten möchte. EOS"
193,"Bos output: ['Die Bundeswehr erste Armee deutschen Nationalstaates Parlamentsarmee, deren Einsätze ausschließlich Bundestag Vorschlag Bundesregierung entscheidet', ' Oberbefehlshaber Friedenszeiten jeweilige Bundesminister Verteidigung; Verteidigungsfall geht Funktion Bundeskanzler über', ' Das Traditionsverständnis Bundeswehr distanziert sowohl Wehrmacht NS-Zeit NVA', ' Es bezieht Preußische Heeresreform 1810, Befreiungskriege Napoleon, militärischen Widerstand Nationalsozialismus eigene Geschichte ', ' Für Soldaten gilt Leitbild „Bürgers Uniform“', ' Als bedeutendstes militärisches Zeremoniell gilt Große Zapfenstreich; öffentlichkeitswirksam häufig außerhalb militärischer Anlagen durchgeführten Vereidigungen Gelöbnisse Soldaten'] ### Input: Die Bundeswehr ist als erste Armee eines deutschen Nationalstaates eine Parlamentsarmee, über deren Einsätze ausschließlich der Bundestag auf Vorschlag der Bundesregierung entscheidet. Oberbefehlshaber ist in Friedenszeiten der jeweilige Bundesminister der Verteidigung; im Verteidigungsfall geht diese Funktion auf den Bundeskanzler über. Das Traditionsverständnis der Bundeswehr distanziert sich sowohl von der Wehrmacht der NS-Zeit als auch von der NVA. Es bezieht sich auf die Preußische Heeresreform um 1810, die Befreiungskriege gegen Napoleon, den militärischen Widerstand gegen den Nationalsozialismus und ihre eigene Geschichte . Für die Soldaten gilt das Leitbild des „Bürgers in Uniform“. Als bedeutendstes militärisches Zeremoniell gilt der Große Zapfenstreich; öffentlichkeitswirksam sind die häufig außerhalb militärischer Anlagen durchgeführten Vereidigungen und Gelöbnisse der Soldaten. EOS"
194,"Bos output: ['Die Bundeswehr erste Armee deutschen Nationalstaates Parlamentsarmee, deren Einsätze ausschließlich Bundestag Vorschlag Bundesregierung entscheidet', ' Oberbefehlshaber Friedenszeiten jeweilige Bundesminister Verteidigung; Verteidigungsfall geht Funktion Bundeskanzler über', ' Das Traditionsverständnis Bundeswehr distanziert sowohl Wehrmacht NS-Zeit NVA', ' Es bezieht Preußische Heeresreform 1810, Befreiungskriege Napoleon, militärischen Widerstand Nationalsozialismus eigene Geschichte ', ' Für Soldaten gilt Leitbild „Bürgers Uniform“', ' Als bedeutendstes militärisches Zeremoniell gilt Große Zapfenstreich; öffentlichkeitswirksam häufig außerhalb militärischer Anlagen durchgeführten Vereidigungen Gelöbnisse Soldaten'] ### Input: Die Bundeswehr ist als erste Armee eines deutschen Nationalstaates eine Parlamentsarmee, über deren Einsätze ausschließlich der Bundestag auf Vorschlag der Bundesregierung entscheidet. Oberbefehlshaber ist in Friedenszeiten der jeweilige Bundesminister der Verteidigung; im Verteidigungsfall geht diese Funktion auf den Bundeskanzler über. Das Traditionsverständnis der Bundeswehr distanziert sich sowohl von der Wehrmacht der NS-Zeit als auch von der NVA. Es bezieht sich auf die Preußische Heeresreform um 1810, die Befreiungskriege gegen Napoleon, den militärischen Widerstand gegen den Nationalsozialismus und ihre eigene Geschichte . Für die Soldaten gilt das Leitbild des „Bürgers in Uniform“. Als bedeutendstes militärisches Zeremoniell gilt der Große Zapfenstreich; öffentlichkeitswirksam sind die häufig außerhalb militärischer Anlagen durchgeführten Vereidigungen und Gelöbnisse der Soldaten. EOS"
195,"Bos output: ['Die Unzufriedenheit DDR-Bevölkerung ständigen, Westfernsehen unterstützten Systemvergleich angewachsen', ' Ende 1980er Jahre bildete Reformpolitik Michail Gorbatschows Sowjetunion DDR Protestbewegung, maroden DDR Herbst 1989 Ausreisebewegung löchrig gewordenen Eisernen Vorgang Massendemonstrationen politische Führung Druck setzte Rücktritt Honeckers führte', ' Am 9', ' November 1989 führte Gewährung Reisefreiheit DDR-Führung Massenansturm Öffnung Grenzübertrittsstellen Berliner Mauer', ' Kohl lenkte Entwicklung ab Zehn-Punkte-Programm Ende November Richtung nationaler Einheit Erhaltung militärischen politischen Westbindung', ' Bei ersten freien Volkskammerwahl 18', ' März 1990 gewann Ost-CDU geführte Parteienbündnis „Allianz Deutschland“, schnelle Wiedervereinigung setzte', ' Diese wurde nächsten Monaten Einigungsvertrag Vertretern Alliierten Rahmen „Zwei-plus-Vier-Gespräche“ ausgehandelt'] ### Input: Die Unzufriedenheit der DDR-Bevölkerung war im ständigen, durch das Westfernsehen unterstützten Systemvergleich angewachsen. Ende der 1980er Jahre bildete sich mit der Reformpolitik Michail Gorbatschows in der Sowjetunion auch in der DDR eine Protestbewegung, die in der maroden DDR im Herbst 1989 durch eine Ausreisebewegung über den löchrig gewordenen Eisernen Vorgang und durch Massendemonstrationen die politische Führung unter Druck setzte und zum Rücktritt Honeckers führte. Am 9. November 1989 führte die Gewährung der Reisefreiheit durch die DDR-Führung zu einem Massenansturm und zur Öffnung der Grenzübertrittsstellen der Berliner Mauer. Kohl lenkte die Entwicklung ab seinem Zehn-Punkte-Programm Ende November in Richtung nationaler Einheit unter Erhaltung der militärischen und politischen Westbindung. Bei der ersten freien Volkskammerwahl vom 18. März 1990 gewann das von der Ost-CDU geführte Parteienbündnis „Allianz für Deutschland“, das auf eine schnelle Wiedervereinigung setzte. Diese wurde in den nächsten Monaten im Einigungsvertrag und mit den Vertretern der Alliierten im Rahmen der „Zwei-plus-Vier-Gespräche“ ausgehandelt. EOS"
196,"Bos output: ['Der Erste Weltkrieg strapazierte Arbeitsfähigkeit Polizei stark, Personalbestand zugunsten Militärs verringert wurde, Militär eingeschränkt Unterstützung Polizei Verfügung stand kriegsbedingte Zusatzaufgaben Polizei zukamen'] ### Input: Der Erste Weltkrieg strapazierte die Arbeitsfähigkeit der Polizei stark, da der Personalbestand zugunsten des Militärs verringert wurde, das Militär nur noch eingeschränkt zur Unterstützung der Polizei zur Verfügung stand und kriegsbedingte Zusatzaufgaben auf die Polizei zukamen. EOS"
197,"Bos output: ['Die Entwicklung Polizei Gründung Bundesrepublik Deutschland sowie Deutschen Demokratischen Republik lief unterschiedlich ab', ' Die Weichenstellungen, Besatzungsmächte Zeit machten, beeinflusst Polizeiorganisation einzelnen Ländern teilweise heute'] ### Input: Die Entwicklung der Polizei bis zur Gründung der Bundesrepublik Deutschland sowie der Deutschen Demokratischen Republik lief sehr unterschiedlich ab. Die Weichenstellungen, die die Besatzungsmächte in dieser Zeit machten, beeinflusst die Polizeiorganisation in den einzelnen Ländern teilweise noch heute. EOS"
198,"Bos output: ['Die wichtigsten Seeschifffahrtsstraßen Unterelbe Unterweser', ' Der Nord-Ostsee-Kanal meistbefahrene künstliche Seeschifffahrtsstraße Welt, deutschen Ostseeküste liegt Kadetrinne meistbefahrene Schiffsroute Ostsee'] ### Input: Die wichtigsten Seeschifffahrtsstraßen sind Unterelbe und Unterweser. Der Nord-Ostsee-Kanal ist die meistbefahrene künstliche Seeschifffahrtsstraße der Welt, vor der deutschen Ostseeküste liegt mit der Kadetrinne die meistbefahrene Schiffsroute der Ostsee. EOS"
199,"Bos output: ['Der Film zweifellos wichtigsten Bestandteile modernen Alltagskultur Indiens', ' Mit mehr 1000 Produktionen jährlich indische Filmindustrie größte Welt', ' Die kulturelle, sprachliche, Vielfalt spiegelt daher Genre wider', ' So großen Regionalsprachen eigene Filmindustrie', ' Der Hindi-Film bringt meisten Produktionen hervor', ' Er Mumbai produziert bezüglich Kommerzkinos Namen „Bollywood“ bekannt', ' Shah Rukh Khan, Amitabh Bachchan Rani Mukerji beliebte berühmte Bollywood-Schauspieler', ' Auch bengalische, Kannada-, tamilische, Telugu- Malayalam-Kino beliebt große Massenwirksamkeit', ' Die wesentlichsten Merkmale Unterhaltungsfilme ähneln einander regionalen Produktionen', ' Die oft mehr drei Stunden langen Filme enthalten viele Musik- Tanzszenen, kommerzieller Film vollständig wäre', ' Bisweilen Filmmusik schon Voraus veröffentlicht', ' Ist Erfolg, Film hoher Wahrscheinlichkeit Kassenschlager', ' Von Schauspielern erwartet, tanzen können, Gesangseinlagen professionellen Sängern übernommen werden', ' Auffällig Mischung komischen, romantischen, dramatischen Actionelementen'] ### Input: Der Film ist zweifellos einer der wichtigsten Bestandteile der modernen Alltagskultur Indiens. Mit mehr als 1000 Produktionen jährlich ist die indische Filmindustrie die größte der Welt. Die kulturelle, vor allem sprachliche, Vielfalt spiegelt sich daher auch in diesem Genre wider. So hat jede der großen Regionalsprachen ihre eigene Filmindustrie. Der Hindi-Film bringt die meisten Produktionen hervor. Er wird in Mumbai produziert und ist bezüglich seines Kommerzkinos unter dem Namen „Bollywood“ bekannt. Shah Rukh Khan, Amitabh Bachchan und Rani Mukerji sind beliebte und berühmte Bollywood-Schauspieler. Auch das bengalische, Kannada-, tamilische, Telugu- und Malayalam-Kino sind sehr beliebt und haben große Massenwirksamkeit. Die wesentlichsten Merkmale der Unterhaltungsfilme ähneln einander in allen regionalen Produktionen. Die oft mehr als drei Stunden langen Filme enthalten viele Musik- und Tanzszenen, ohne die kein kommerzieller Film vollständig wäre. Bisweilen wird die Filmmusik schon im Voraus veröffentlicht. Ist sie ein Erfolg, wird auch der Film mit hoher Wahrscheinlichkeit zum Kassenschlager. Von den Schauspielern wird erwartet, dass sie tanzen können, während die Gesangseinlagen von professionellen Sängern übernommen werden. Auffällig ist auch die Mischung aus komischen, romantischen, dramatischen und Actionelementen. EOS"
200,"Bos output: ['Deutschland internationalen Organisationen Amnesty International unbotmäßigen Einsatz polizeilicher Gewalt kritisiert', ' Auch UN-Sonderberichterstatter Folter grausame, unmenschliche entwürdigende Behandlung Bestrafung Polizeigewalt Deutschland zahlreiche Hinweise bereits negativ aufgefallen'] ### Input: Deutschland wird von internationalen Organisationen wie Amnesty International für den unbotmäßigen Einsatz polizeilicher Gewalt kritisiert. Auch dem UN-Sonderberichterstatter über Folter und andere grausame, unmenschliche oder entwürdigende Behandlung oder Bestrafung ist die Polizeigewalt in Deutschland durch zahlreiche Hinweise bereits negativ aufgefallen. EOS"
